Authors;Year;Source title;Cited by
Sung C.-G., Kim T.W., Park Y.-G., Kang S.-G., Inaba K., Shiba K., Choi T.S., Moon S.-D., Litvin S., Lee K.-T., Lee J.-S.;2014;Journal of Marine Systems;1
Miller L.P., Matassa C.M., Trussell G.C.;2014;Global Change Biology;5
Tepolt C.K., Somero G.N.;2014;Journal of Experimental Biology;9
Litvin S.Y., Weinstein M.P., Guida V.G.;2014;Marine Ecology Progress Series;
Madigan D.J., Baumann Z., Carlisle A.B., Hoen D.K., Popp B.N., Dewar H., Snodgrass O.E., Block B.A., Fisher N.S.;2014;Ecology;4
Cornu E.L., Kittinger J.N., Koehn J.Z., Finkbeiner E.M., Crowder L.B.;2014;Conservation Biology;4
Mccauley D.J., Young H.S., Guevara R., Williams G.J., Power E.A., Dunbar R.B., Bird D.W., Durham W.H., Micheli F.;2014;Conservation Biology;2
Giangrande A., Gambi M.C., Micheli F., Kroeker K.J.;2014;Journal of the Marine Biological Association of the United Kingdom;
von Appen W.-J., Koszalka I.M., Pickart R.S., Haine T.W.N., Mastropole D., Magaldi M.G., Valdimarsson H., Girton J., Jochumsen K., Krahmann G.;2014;Deep-Sea Research Part I: Oceanographic Research Papers;4
Barshis D.J., Ladner J.T., Oliver T.A., Palumbi S.R.;2014;Molecular Biology and Evolution;8
Maxwell S.M., Ban N.C., Morgan L.E.;2014;Endangered Species Research;2
Staaf D.J., Gilly W.F., Denny M.W.;2014;Journal of Experimental Biology;3
Vincenzi S., De Leo G.A., Munari C., Mistri M.;2014;Hydrobiologia;1
DasSarma S., Karan R., DasSarma P., Barnes S., Ekulona F., Smith B.;2013;BMC Biotechnology;1
Bolzoni L., Tessoni V., Groppi M., De Leo G.A.;2013;Journal of Mathematical Biology;1
Micheli F., Halpern B.S., Walbridge S., Ciriaco S., Ferretti F., Fraschetti S., Lewison R., Nykjaer L., Rosenberg A.A.;2013;PLoS ONE;26
Nickols K.J., Miller S.H., Gaylord B., Morgan S.G., Largier J.L.;2013;Marine Ecology Progress Series;3
Micheli F., Niccolini F.;2013;Ecology and Society;2
Daneshian M., Botana L.M., Bottein M.-Y.D., Buckland G., Campas M., Dennison N., Dickey R.W., Diogene J., Fessard V., Hartung T., Humpage A., Leist M., Molgo J., Quilliam M.A., Rovida C., Suarez-Isla B.A., Tubaro A., Wagner K., Zoller O., Dietrich D.;2013;Altex;2
Rosa R., Yamashiro C., Markaida U., Rodhouse P.G.K., Waluda C.M., Salinas-Zavala C.A., Keyl F., ODor R., Stewart J.S., Gilly W.F.;2013;Advances in Squid Biology, Ecology and Fisheries. Part II - Oegopsid squids;4
Dale J.J., Drazen J.C., Holland K.N.;2013;Marine Biology;2
