acquisition_time	studies_id	utm_x	utm_y	sex	gps_positions_animals_id	original_animal_id	animal_year_id
03APR07:15:00:00	5	418290.974	6583387.228	f	1124707	3358	33580
03APR07:18:00:00	5	417795.2976	6583074.308	f	1124695	3358	33580
03APR07:21:00:00	5	416871.4694	6582741.338	f	1124683	3358	33580
04APR07:00:00:00	5	415952.254	6582893.653	f	1125353	3358	33580
04APR07:03:00:00	5	415854.0966	6582902.308	f	1125341	3358	33580
04APR07:06:00:00	5	415665.1198	6582275.456	f	1125618	3358	33580
04APR07:09:00:00	5	415884.8747	6582523.351	f	1126005	3358	33580
04APR07:12:00:00	5	415988.6913	6582409.928	f	1126454	3358	33580
04APR07:15:00:00	5	416139.4394	6583825.142	f	1130526	3358	33580
04APR07:18:00:00	5	415468.863	6584311.976	f	1130514	3358	33580
04APR07:21:00:00	5	415230.9732	6585228.415	f	1130373	3358	33580
05APR07:00:00:00	5	414939.1957	6585514.763	f	1130361	3358	33580
05APR07:03:00:00	5	414479.7459	6585825.39	f	1129923	3358	33580
05APR07:06:00:00	5	415340.8843	6586113.136	f	1129911	3358	33580
05APR07:09:00:00	5	414964.0702	6586818.791	f	1129716	3358	33580
05APR07:12:00:00	5	414957.0781	6586819.717	f	1129704	3358	33580
05APR07:15:00:00	5	415108.6451	6586972.93	f	1129692	3358	33580
05APR07:18:00:00	5	415339.0975	6587118.375	f	1129680	3358	33580
05APR07:21:00:00	5	415470.7487	6587863.836	f	1130347	3358	33580
06APR07:00:00:00	5	415545.0124	6588299.992	f	1130509	3358	33580
06APR07:03:00:00	5	415502.8962	6588890.83	f	1131197	3358	33580
06APR07:06:00:00	5	415491.0353	6589066.755	f	1131610	3358	33580
06APR07:09:00:00	5	415723.8001	6589284.119	f	1132110	3358	33580
06APR07:12:00:00	5	415740.4871	6588446.598	f	1132308	3358	33580
06APR07:15:00:00	5	415715.7356	6588049.024	f	1132879	3358	33580
06APR07:18:00:00	5	416459.3457	6588170.281	f	1133589	3358	33580
06APR07:21:00:00	5	416401.15	6588555.179	f	1133777	3358	33580
07APR07:00:00:00	5	416405.5279	6588537.582	f	1134394	3358	33580
07APR07:03:00:00	5	415866.5488	6588771.188	f	1134796	3358	33580
07APR07:06:00:00	5	415786.271	6588541.31	f	1135637	3358	33580
07APR07:09:00:00	5	415165.7282	6587436.234	f	1136181	3358	33580
07APR07:12:00:00	5	414537.2137	6587122.556	f	1137664	3358	33580
07APR07:15:00:00	5	414175.1961	6587095.074	f	1137652	3358	33580
07APR07:18:00:00	5	414034.8408	6586937.03	f	1138053	3358	33580
07APR07:21:00:00	5	414009.5677	6586754.013	f	1139793	3358	33580
08APR07:00:00:00	5	413647.3085	6586698.659	f	1139781	3358	33580
08APR07:03:00:00	5	413350.6928	6586508.969	f	1140727	3358	33580
08APR07:06:00:00	5	413658.4761	6587090.777	f	1140980	3358	33580
08APR07:09:00:00	5	414872.8781	6586503.512	f	1146100	3358	33580
08APR07:12:00:00	5	415219.6227	6586040.586	f	1146088	3358	33580
08APR07:15:00:00	5	415159.3055	6585788.426	f	1145958	3358	33580
08APR07:18:00:00	5	414597.9012	6585906.788	f	1145946	3358	33580
08APR07:21:00:00	5	414632.1922	6586233.127	f	1145934	3358	33580
09APR07:00:00:00	5	414577.2722	6586657.05	f	1145584	3358	33580
09APR07:03:00:00	5	414562.1801	6586643.834	f	1145572	3358	33580
09APR07:06:00:00	5	413940.2468	6586665.717	f	1145560	3358	33580
09APR07:09:00:00	5	413562.7208	6586826.606	f	1145400	3358	33580
09APR07:12:00:00	5	413633.592	6587007.742	f	1146087	3358	33580
09APR07:15:00:00	5	414240.7354	6587469.715	f	1146354	3358	33580
09APR07:18:00:00	5	414744.3615	6587697.735	f	1146949	3358	33580
09APR07:21:00:00	5	414668.0537	6587554.254	f	1147453	3358	33580
10APR07:00:00:00	5	413694.257	6587247.675	f	1147840	3358	33580
10APR07:03:00:00	5	413484.1538	6586959.574	f	1148371	3358	33580
10APR07:06:00:00	5	413053.0904	6586500.802	f	1148724	3358	33580
10APR07:09:00:00	5	412751.4586	6586280.405	f	1149274	3358	33580
10APR07:12:00:00	5	412732.8047	6586117.772	f	1149641	3358	33580
10APR07:15:00:00	5	412738.4567	6586106.98	f	1151040	3358	33580
10APR07:18:00:00	5	413543.2694	6585507.142	f	1151028	3358	33580
10APR07:21:00:00	5	412949.6981	6584875.489	f	1152380	3358	33580
11APR07:00:00:00	5	412940.9922	6584921.541	f	1154610	3358	33580
11APR07:03:00:00	5	412917.3358	6584960.072	f	1154609	3358	33580
11APR07:06:00:00	5	412899.7427	6583242.344	f	1154608	3358	33580
11APR07:09:00:00	5	413648.4153	6583396.648	f	1154607	3358	33580
11APR07:12:00:00	5	413489.3107	6584031.357	f	1154606	3358	33580
11APR07:15:00:00	5	413760.4147	6584567.964	f	1154605	3358	33580
11APR07:18:00:00	5	412867.8455	6584357.172	f	1154604	3358	33580
11APR07:21:00:00	5	412395.0318	6583593.875	f	1154603	3358	33580
12APR07:00:00:00	5	412380.4897	6583585.133	f	1154602	3358	33580
12APR07:03:00:00	5	412364.9589	6583334.08	f	1157518	3358	33580
12APR07:06:00:00	5	412269.7702	6583097.873	f	1157517	3358	33580
